,artists,genres
4431,Chris Spedding,['pub rock']
4432,Chris Squire,"['art rock', 'canterbury scene', 'jazz fusion', 'progressive rock', 'symphonic rock']"
4433,Chris Standring,['smooth jazz']
4434,Chris Stapleton,"['contemporary country', 'outlaw country']"
4435,Chris Thile,"['bluegrass', 'classical mandolin', 'indie folk', 'instrumental bluegrass', 'mandolin', 'progressive bluegrass']"
4436,Chris Thomas,"['country blues', 'louisiana blues', 'new orleans blues']"
4437,Chris Thomas King,"['country blues', 'louisiana blues', 'new orleans blues']"
4438,Chris Tomlin,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
4439,Chris Travis,"['dark trap', 'emo rap', 'phonk', 'underground hip hop', 'vapor trap']"
4440,Chris Ward,['chopped and screwed']
4441,Chris Webby,"['deep underground hip hop', 'indie pop rap', 'pop rap', 'rap']"
4442,Chris Whitley,"['alternative roots rock', 'roots rock']"
4443,Chris Willis,[]
4444,Chris Worsey,[]
4445,Chris Wright,['lo-fi beats']
4446,Chris Young,"['contemporary country', 'country', 'country road', 'modern country rock']"
4447,Chris de Burgh,"['mellow gold', 'new wave pop', 'soft rock']"
4448,Chrisette Michele,"['hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
4449,Chrisette Michelle,[]
4450,Chrishan,[]
4451,Chrissie Hynde,[]
4452,Chrissy Costanza,[]
4453,Chrissy Zebby Tembo,['afro psych']
4454,Christ For The Nations Music,"['world worship', 'worship']"
4455,Christa Ludwig,"['classical mezzo-soprano', 'classical performance', 'opera']"
4456,Christel Goltz,['vintage classical singing']
4457,Christian Bale,['hollywood']
4458,Christian Bautista,"['classic opm', 'dance pop', 'opm']"
4459,Christian Benda,['classical cello']
4460,Christian Borle,"['broadway', 'hollywood', 'show tunes']"
4461,Christian Death,"['dark post-punk', 'dark wave', 'deathrock', 'ethereal wave', 'gothic rock']"
4462,Christian Finnegan,"['comedy', 'deep comedy', 'new comedy']"
4463,Christian French,['pop']
4464,Christian Leave,"['indie cafe pop', 'indie pop', 'pop']"
4465,Christian McBride,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz funk', 'jazz fusion', 'soul jazz', 'straight-ahead jazz']"
4466,Christian Nodal,['regional mexican pop']
4467,Christian Rich,['alternative r&b']
4468,Christian Scott aTunde Adjuah,"['contemporary jazz', 'contemporary post-bop', 'cool jazz', 'experimental jazz', 'indie jazz', 'indie soul', 'jazz', 'jazz fusion', 'jazz trumpet', 'new orleans jazz']"
4469,Christian Sinding,"['late romantic era', 'norwegian classical']"
4470,Christian Spring,[]
4471,Christianne Jensen,[]
4472,Christie,['country pop']
4473,Christie Laume,['ye ye']
4474,Christina Aguilera,"['dance pop', 'europop', 'pop', 'pop rap', 'post-teen pop']"
4475,Christina Grimmie,"['dance pop', 'post-teen pop', 'viral pop']"
4476,Christina Milian,"['dance pop', 'europop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
4477,Christina Modestou,[]
4478,Christina Novelli,"['trance', 'uplifting trance', 'vocal trance']"
4479,Christina Perri,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
4480,Christine Andreas,[]
4481,Christine Baranski,"['hollywood', 'movie tunes']"
4482,Christine D'Clario,"['latin christian', 'latin worship']"
4483,Christine Fan,"['c-pop', 'mandopop']"
4484,Christine Hoberg,['experimental vocal']
4485,Christine Langner,[]
4486,Christine McVie,"['mellow gold', 'soft rock', 'yacht rock']"
4487,Christine Pendrill,[]
4488,Christine and the Queens,"['art pop', 'electropop', 'metropopolis', 'shimmer pop']"
4489,Christión,[]
4490,Christodoulos Siganos,[]
4491,Christoph Andersson,[]
4492,Christoph Waltz,[]
4493,Christoph Willibald Gluck,"['classical', 'classical era', 'early music', 'galante era']"
4494,Christoph von Dohnányi,[]
4495,Christophe Beck,"['canadian soundtrack', 'soundtrack']"
4496,Christopher Cross,"['adult standards', 'album rock', 'disco', 'mellow gold', 'new wave pop', 'quiet storm', 'soft rock', 'yacht rock']"
4497,Christopher Deane,['mallet']
4498,Christopher Fitzgerald,"['broadway', 'hollywood', 'show tunes']"
4499,Christopher Fogel,[]
4500,Christopher H. Knight,[]
4501,Christopher Hogwood,"['classical performance', 'historically informed performance', 'orchestral performance']"
4502,Christopher Hooker,[]
4503,Christopher Jackson,"['hollywood', 'show tunes']"
4504,Christopher Lynch,[]
4505,Christopher Martin,"['dancehall', 'lovers rock', 'modern reggae', 'reggae fusion', 'soca']"
4506,Christopher Mintz-Plasse,[]
4507,Christopher Plummer,[]
4508,Christopher Tin,['video game music']
4509,Christopher Wilde,"['dance pop', 'pop', 'post-teen pop']"
4510,Christopher Williams,"['new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
4511,Christopher van Kampen,['classical cello']
4512,Christos Louretzis,[]
4513,Christy Altomare,"['broadway', 'hollywood', 'show tunes']"
4514,Christy Essien,['afro-funk']
4515,Christy Moore,"['celtic', 'irish folk']"
4516,Chromatics,"['alternative dance', 'art pop', 'chillwave', 'electronica', 'electropop', 'indie pop', 'indietronica', 'modern dream pop', 'neo-synthpop', 'new rave']"
4517,Chrome,"['alternative dance', 'dance-punk', 'disco house', 'electropop', 'filter house', 'indietronica', 'new rave', 'nu disco']"
4518,Chrome Sparks,"['chillwave', 'indietronica', 'shimmer psych', 'vapor soul', 'vapor twitch']"
4519,Chromeo,"['alternative dance', 'dance-punk', 'disco house', 'electropop', 'filter house', 'indietronica', 'new rave', 'nu disco']"
4520,Chron Gen,"['anarcho-punk', 'oi', 'uk82']"
4521,Chronic Future,[]
4522,Chronixx,"['dancehall', 'modern reggae']"
4523,Chrorus,[]
4524,Chubb Rock,"['east coast hip hop', 'electro', 'hardcore hip hop', 'hip hop', 'hip house', 'old school hip hop']"
4525,Chubby Checker,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']"
4526,Chubby Jackson Big Band,[]
4527,Chubby Jackson Orchestra,[]
4528,Chucho Avellanet,"['bolero', 'puerto rican pop']"
4529,Chucho Ponce Los Daddys de Chinantla,['cumbia sonidera']
4530,Chuck,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
4531,Chuck Berry,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
4532,Chuck Brown and the Soul Searchers,['go-go']
4533,Chuck D,"['conscious hip hop', 'east coast hip hop', 'old school hip hop']"
4534,Chuck Darling,[]
4535,Chuck Jackson,"['beach music', 'classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']"
4536,Chuck Jonkey / Sonic Safari Productions,['singing bowl']
4537,Chuck Lee,[]
4538,Chuck Mangione,"['jazz trumpet', 'smooth jazz']"
4539,Chuck Prophet,"['alternative country', 'alternative roots rock', 'country rock', 'deep new americana', 'folk', 'heartland rock', 'new americana', 'power pop', 'pub rock', 'roots rock']"
4540,Chuck Rainey,['electric bass']
4541,Chuck Riley,"[""children's music""]"
4542,Chuck Strangers,[]
4543,Chuck Turner,['deep ragga']
4544,Chuck Wagner,[]
4545,Chuck Wicks,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
4546,Chuck Willis,"['doo-wop', 'jazz blues', 'rhythm and blues', 'rock-and-roll', 'swamp pop']"
4547,Chuckii Booker,"['new jack swing', 'quiet storm', 'urban contemporary']"
4548,Chuito & The Latin Uniques,[]
4549,Chuji Kinoshita,[]
4550,Chumbawamba,['anarcho-punk']
4551,Chunilal Pardesi,[]
4552,"Church of God Congregation (Nassau, Bahamas)",['bahamian folk']
4553,Chuuwee,"['deep underground hip hop', 'underground hip hop']"
4554,Chuy Lizarraga y Su Banda Tierra Sinaloense,"['banda', 'duranguense', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']"
4555,Chuy Vega,"['deep regional mexican', 'norteno']"
4556,Chyi Chin,"['c-pop', 'classic cantopop', 'classic mandopop', 'taiwan campus folk']"
4557,Chyi Yu,"['c-pop', 'classic mandopop', 'fo jing', 'vintage chinese pop']"
4558,Chyna Whyte,[]
4559,Chœur et Orchestre de l'Opéra de Paris,['opera']
4560,Ciara,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']"
4561,Ciaran Hinds,[]
4562,Ciaran Lavery,"['british singer-songwriter', 'indie anthem-folk', 'irish singer-songwriter']"
4563,Cibo Matto,"['shibuya-kei', 'trip hop']"
4564,Cielo Azul,[]
4565,Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
4566,Cilla Black,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
4567,Cincinnati Philharmonia Orchestra,[]
4568,Cinderella,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
4569,Cinderella Ensemble,[]
4570,Cinderella's Mice Chorus,"['disney', 'movie tunes']"
4571,Cinders,[]
4572,Cindy Benson,[]
4573,Cindy Bullens,['hollywood']
4574,Cindy Dickenson,[]
4575,Cindy Walker,[]
4576,Cinico Angelini,[]
4577,Circa Survive,"['dreamo', 'emo', 'philly indie', 'pop punk', 'post-hardcore', 'progressive post-hardcore', 'screamo']"
4578,Circa Waves,"['english indie rock', 'indie surf', 'liverpool indie', 'modern alternative rock', 'modern rock', 'rock']"
4579,Circle Jerks,"['hardcore punk', 'punk', 'skate punk', 'thrash core']"
4580,Circus DJ's,[]
4581,CircusP,['otacore']
4582,Ciro Monteiro,"['samba', 'velha guarda']"
4583,Cirque du Soleil,"['circus', 'new age']"
4584,Cisco Adler,['indie pop rap']
4585,Cisco Houston,"['american folk revival', 'appalachian folk', 'folk', 'old-time', 'traditional folk']"
4586,Cise Star,[]
4587,Cise Starr,[]
4588,Cissy Housten,[]
4589,Cissy Houston,[]
4590,Citipointe Live,"['anthem worship', 'ccm', 'christian music', 'world worship', 'worship']"
4591,Citizen,['neo mellow']
4592,Citizen Cope,['neo mellow']
4593,Citizen King,"['pop rock', 'post-grunge']"
4594,Citizen Way,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
4595,City Boy,[]
4596,City Girls,"['pop', 'pop rap', 'trap queen']"
4597,City High,['hip pop']
4598,City Of Birmingham Symphony Orchestra,"['classical performance', 'orchestra']"
4599,City Slickers,[]
4600,City Spud,[]
4601,City and Colour,"['canadian folk', 'canadian indie']"
4602,City of London Sinfonia,"['chamber orchestra', 'classical performance']"
4603,Civil Twilight,"['cape town indie', 'piano rock', 'south african rock']"
4604,Ck9c,"['antiviral pop', 'otacore']"
4605,Claes Nilsson,"['calming instrumental', 'chill guitar']"
4606,Clair Marlo,[]
4607,Claire Moore,[]
4608,Clairo,"['bedroom pop', 'boston indie', 'indie pop']"
4609,Clams Casino,"['chillwave', 'experimental hip hop', 'indie r&b', 'indietronica', 'psychedelic hip hop', 'underground hip hop', 'vapor twitch', 'witch house']"
4610,Clan of Xymox,"['dark post-punk', 'dark wave', 'ebm', 'ethereal wave', 'gothic rock', 'industrial', 'neoclassical darkwave', 'new romantic', 'new wave']"
4611,Clancy Brown,[]
4612,Clannad,"['celtic', 'celtic rock', 'new age']"
4613,Clap Your Hands Say Yeah,"['alternative dance', 'alternative rock', 'brooklyn indie', 'dance-punk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'new rave', 'philly indie', 'stomp and holler']"
4614,Claptone,"['deep disco house', 'german house', 'german techno', 'house', 'progressive house', 'tropical house']"
4615,Clara Haskil,['classical performance']
4616,Clara Jaione,['vintage italian pop']
4617,Clara Jaione con Orchestra Armando Fragna,[]
4618,Clara Mae,"['indie cafe pop', 'indie poptimism', 'pop', 'swedish pop', 'viral pop']"
4619,Clara Nunes,"['bossa nova', 'forro', 'mpb', 'pagode', 'samba', 'umbanda', 'velha guarda']"
4620,Clare Dunn,"['contemporary country', 'country pop']"
4621,"Clarence ""Frogman"" Henry","['louisiana blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll']"
4622,"Clarence ""Gatemouth"" Brown","['blues', 'blues rock', 'memphis blues', 'modern blues', 'texas blues', 'traditional blues']"
4623,Clarence Ashley,"['appalachian folk', 'banjo', 'clawhammer banjo', 'old-time']"
4624,Clarence Ashley & Gwen Foster,[]
4625,Clarence Ashley y Gwen Foster,[]
4626,Clarence Carter,"['classic soul', 'funk', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
4627,Clarence Clemons,[]
4628,Clarence Reid,['rare groove']
4629,Clarence Williams & His Orchestra,[]
4630,Clarence Williams' Blue Five,[]
4631,Clarence Williams' Jug Band,['dixieland']
4632,ClariS,"['anime', 'j-pop girl group', 'otacore']"
4633,Claribel,[]
4634,Claribel Ramón,[]
4635,Clark Johnsen,['show tunes']
4636,Clark Terry,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz trumpet']"
4637,Clark Terry Quartet,[]
4638,Class Actress,"['brooklyn indie', 'chillwave', 'metropopolis', 'neo-synthpop']"
4639,Classics IV,"['brill building pop', 'bubblegum pop', 'folk rock', 'soft rock']"
4640,Classixx,"['alternative dance', 'chillwave', 'electrofox', 'filter house', 'indie poptimism', 'indietronica', 'nu disco']"
4641,Claud,"['alternative r&b', 'indie r&b', 'pop']"
4642,Claude Barzotti,"['chanson', 'french pop']"
4643,Claude Bolling,['french jazz']
4644,Claude Debussy,"['classical', 'impressionism', 'post-romantic era']"
4645,Claude François,"['chanson', 'french pop', 'ye ye']"
4646,Claude Hopkins,['stride']
4647,Claude Hopkins and His Orchestra,[]
4648,Claude King,['cowboy western']
4649,Claude Luter et son orchestre,[]
4650,Claude McKay,[]
4651,Claude Romano,[]
4652,Claude Thornhill & His Orchestra,[]
4653,Claude Walter Feaster,[]
4654,Claude-Michel Schönberg,['broadway']
4655,Claudette Ortiz,[]
4656,Claudia,"[""children's music""]"
4657,Claudia Jones,"[""children's music""]"
4658,Claudia Leitte,"['axe', 'baile pop', 'funk carioca', 'mpb', 'pagode', 'pop nacional', 'sertanejo universitario']"
4659,Claudia Pizá,['cancion infantil mexicana']
4660,Claudine Longet,[]
4661,Claudine Williams,[]
4662,Claudio Abbado,"['classical performance', 'orchestral performance']"
4663,Claudio Arrau,"['classical', 'classical performance', 'classical piano']"
4664,Claudio Baglioni,"['classic italian pop', 'italian pop']"
4665,Claudio Moran,['cumbia sonidera']
4666,Claudio Scimone,['classical performance']
4667,Claudio Villa,"['canzone napoletana', 'classic italian pop']"
4668,Claudius Alzner,"['ballroom', 'easy listening']"
4669,Claus Ogerman,['space age pop']
4670,Clave 520,"['corrido', 'corridos tumbados', 'regional mexican pop']"
4671,Clawfinger,"['alternative metal', 'funk metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock']"
4672,Clay Aiken,['idol']
4673,Clay Parnell,[]
4674,Clay Walker,"['contemporary country', 'country', 'country road', 'modern country rock']"
4675,Clean Bandit,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
4676,Clear Conscience,"['jawaiian', 'reggae rock', 'west coast reggae']"
4677,Cledus T. Judd,"['comic', 'country', 'country road', 'novelty', 'parody', 'redneck']"
4678,Clem Creevy,[]
4679,Clem Leek,"['compositional ambient', 'focus']"
4680,Clemens Krauss,"['historic orchestral performance', 'orchestral performance']"
4681,Clement Krauss,[]
4682,Cleve Asbury,[]
4683,Cleveland Orchestra,"['classical performance', 'orchestra']"
4684,Cleveland Pops Orchestra,[]
4685,Clever,[]
4686,Click,"['boy band', 'neo mellow', 'neon pop punk', 'pixie', 'pop punk', 'pop rock']"
4687,Cliff Barrows,[]
4688,Cliff Edwards,['movie tunes']
4689,Cliff Johnson,[]
4690,Cliff Jordan,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'soul jazz']"
4691,Cliff Richard,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'mellow gold', 'rock-and-roll', 'rockabilly', 'soft rock']"
4692,Cliff Richard & The Shadows,"['adult standards', 'brill building pop', 'merseybeat', 'rock-and-roll']"
4693,Cliff Weston,[]
4694,Cliff Young,[]
4695,Clifford Brown,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul jazz', 'stride', 'swing', 'vocal jazz']"
4696,Clifford Brown All Stars,[]
4697,Clifford David,[]
4698,Clifford Grey,[]
4699,Clifford Solum,[]
4700,Climax,"['blues rock', 'british blues', 'classic rock', 'country rock', 'soft rock']"
4701,Climax Blues Band,"['blues rock', 'british blues', 'classic rock', 'country rock', 'soft rock']"
4702,Climie Fisher,"['dance rock', 'new romantic', 'new wave pop']"
4703,Clint Black,"['country', 'country road', 'country rock']"
4704,Clint Eastwood,['classic soundtrack']
4705,Clint Holmes,[]
4706,Clint Mansell,"['british soundtrack', 'compositional ambient', 'scorecore', 'soundtrack']"
4707,Clinton,[]
4708,Clinton Kane,[]
4709,Clinton Sundberg,[]
4710,Clipse,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
4711,Clive Griffin,[]
4712,Clive Richardson,['library music']
4713,Cloud One,[]
4714,Club Deportivo Universidad Católica,[]
4715,Club Nouveau,"['electro', 'freestyle', 'funk', 'new jack swing', 'quiet storm', 'urban contemporary']"
4716,Clue,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop']"
4717,Cluster,"['ambient', 'art pop', 'art rock', 'berlin school', 'canterbury scene', 'compositional ambient', 'drone', 'experimental', 'experimental rock', 'fourth world', 'industrial', 'krautrock', 'post-punk']"
4718,Clutch,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'hard rock', 'rock', 'stoner metal', 'stoner rock']"
4719,Clyde Boudreaux,['background music']
4720,Clyde Carson,"['cali rap', 'hyphy', 'west coast rap', 'west coast trap']"
4721,Clyde Dunn,[]
4722,Clyde Rogers,[]
4723,Co of Tre +6,[]
4724,Coal Chamber,"['alternative metal', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
4725,Coast,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock']"
4726,Coast Modern,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock']"
4727,Cobby Supreme,[]
4728,Cobra Starship,"['dance pop', 'neon pop punk', 'pop punk', 'post-teen pop']"
4729,Cochise,['vapor trap']
4730,Cock Sparrer,"['oi', 'punk', ""punk 'n' roll"", 'ska']"
4731,Cockney Rejects,"['oi', 'punk', 'ska']"
4732,Coco Jones,[]
4733,Coco Owino,[]
4734,CocoRosie,"['art pop', 'electronica', 'folktronica', 'freak folk', 'new weird america']"
4735,Cocoa Tea,"['dancehall', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae']"
4736,Coconut Records,"['indie pop', 'la indie', 'stomp and holler']"
4737,Cocteau Twins,"['alternative rock', 'art pop', 'art rock', 'dance rock', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'post-punk', 'scottish indie', 'shoegaze', 'slow core']"
4738,Coda,[]
4739,Codallo's Top Hatters Orchestra,[]
4740,Codes In The Clouds,"['british post-rock', 'instrumental post-rock', 'post-rock']"
4741,Cody Carnes,"['anthem worship', 'ccm', 'christian music', 'world worship', 'worship']"
4742,Cody Chesnutt,['funk']
4743,Cody Jinks,"['modern southern rock', 'outlaw country', 'texas country']"
4744,Cody Johnson,"['contemporary country', 'country road', 'texas country']"
4745,Cody Simpson,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
4746,Coheed and Cambria,"['alternative metal', 'emo', 'pop punk', 'screamo']"
4747,Coi Leray,['trap queen']
4748,Coko,[]
4749,Col. Bruce Hampton & The Aquarium Rescue Unit,['jam band']
4750,Colacho Mendoza,['classic colombian pop']
4751,Colbie Caillat,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
4752,Colby O'Donis,"['pop rap', 'urban contemporary']"
4753,Cold,"['permanent wave', 'pop']"
4754,Cold Chisel,"['australian pop', 'australian rock']"
4755,Cold Hart,"['dark trap', 'emo rap', 'underground hip hop', 'vapor trap']"
4756,Cold War Kids,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'piano rock', 'pop rock', 'rock', 'stomp and holler']"
4757,Coldplay,"['permanent wave', 'pop']"
4758,Cole Alexander,[]
4759,Cole Porter,['tin pan alley']
4760,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']"
4761,Coleman Hawkins,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'stride', 'swing', 'vocal jazz']"
4762,Coleman Hawkins & Roy Eldridge,[]
4763,Coleman Hawkins Quartet,['jazz quartet']
4764,Coleman Hawkins' All Star Octet,[]
4765,Coleman Hell,"['canadian pop', 'indie poptimism', 'pop rock']"
4766,Coleman Trapp,[]
4767,Coleridge-Taylor Perkinson,[]
4768,Colette,"['alternative r&b', 'indie r&b', 'lo-fi chill']"
4769,Colin Blunstone,['classic uk pop']
4770,Colin Firth,['hollywood']
4771,Colin Gordon-Farleigh,[]
4772,Colin Hay,['neo mellow']
4773,Colin Horsley,[]
4774,Colin James,"['blues rock', 'canadian blues', 'classic canadian rock', 'electric blues', 'modern blues']"
4775,Colin Munroe,"['indie r&b', 'soul flow']"
4776,Collections Of Colonies Of Bees,['milwaukee indie']
4777,Collective Soul,"['alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
4778,Colleen O'Connor,[]
4779,College,"['british choir', 'cambridge choir', 'choral']"
4780,College & Electric Youth,[]
4781,Collegium Instrumentale Brugense,['baroque ensemble']
4782,Collie Buddz,"['dancehall', 'jawaiian', 'modern reggae', 'reggae fusion']"
4783,Collin Raye,"['arkansas country', 'country', 'country road', 'country rock']"
4784,Collin Walcott,"['ecm-style jazz', 'sitar']"
4785,Colm Feore,[]
4786,Colm Wilkinson,"['hollywood', 'show tunes', 'west end']"
4787,Colmillo Norteño,"['banda', 'deep regional mexican', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']"
4788,Cologne Radio Chorus,[]
4789,Cologne Radio Symphony Orchestra,['radio symphony']
4790,Colonel Abrams,"['chicago house', 'post-disco']"
4791,Colonne Symphony Orchestra,[]
4792,Colony House,"['indie pop', 'indie poptimism', 'indiecoustica', 'indietronica', 'modern alternative rock', 'modern rock', 'stomp and holler']"
4793,Color Me Badd,"['boy band', 'new jack swing', 'r&b', 'urban contemporary']"
4794,Colosseum,"['art rock', 'blues rock', 'british jazz', 'canterbury scene', 'funeral doom', 'german rock', 'jazz rock', 'progressive rock', 'psychedelic rock', 'symphonic rock']"
4795,Colt Ford,"['contemporary country', 'country', 'country rap', 'country road', 'modern country rock', 'redneck']"
4796,Colter Wall,"['canadian americana', 'canadian contemporary country', 'new americana', 'outlaw country', 'saskatchewan indie']"
4797,Colton Dixon,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
4798,Columbia Chamber Orchestra,[]
4799,Columbia Concert Orchestra,[]
4800,Columbia Jazz Combo,[]
4801,Columbia Orchestra,['orchestra']
4802,Columbia Studio Orchestra,[]
4803,Columbia Symphony Orchestra,['orchestra']
4804,Columbia Wind Ensemble,[]
4805,Com Truise,"['chillwave', 'future funk', 'indietronica', 'vaporwave', 'wonky']"
4806,Coma Cinema,"['anti-folk', 'indie dream pop', 'indie garage rock', 'indie rock', 'north carolina indie']"
4807,Combichrist,"['aggrotech', 'ebm', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']"
4808,Comeback Kid,"['canadian hardcore', 'canadian punk', 'hardcore punk', 'melodic hardcore', 'melodic metalcore', 'straight edge']"
4809,Comethazine,"['meme rap', 'rap', 'trap', 'underground hip hop', 'vapor trap']"
4810,Commander Cody and His Lost Planet Airmen,['country rock']
4811,Commissioned,['gospel']
4812,Commodores,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
4813,Common,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'neo soul', 'rap', 'southern hip hop']"
4814,Common Kings,"['jawaiian', 'polynesian pop']"
4815,Common Market,"['conscious hip hop', 'underground rap']"
4816,Common Rider,"['folk punk', 'modern ska punk', 'punk', 'ska', 'ska punk']"
4817,Commonwealth Jones,['traditional rockabilly']
4818,Company,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
4819,Company B,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
4820,Company Chorus,[]
4821,Company Ensemble,[]
4822,Compay Quinto,['chicha']
4823,Compay Segundo,"['latin jazz', 'mambo', 'son cubano']"
4824,Compost,['spiritual jazz']
4825,Compound Red,"['emo', 'emo punk', 'midwest emo']"
4826,Compton's Most Wanted,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']"
4827,Comus,"['canterbury scene', 'experimental', 'psychedelic folk']"
4828,Con Funk Shun,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
4829,Conan Gray,"['bedroom pop', 'indie pop', 'pop']"
4830,Concentus Hungaricus,[]
4831,Concentus Musicus Wien,"['classical performance', 'historically informed performance']"
4832,Concept Neuf,['cumbia funk']
4833,Concert Hall Orchestra,[]
4834,Concert Hall Symphony Orchestra,[]
4835,Concertgebouw Chamber Orchestra,['chamber orchestra']
4836,Concertgebouworkest,"['classical', 'classical performance', 'orchestra']"
4837,Concerto Köln,"['baroque ensemble', 'classical performance', 'historically informed performance', 'opera']"
4838,Concrete Blonde,"['lilith', 'new wave pop']"
4839,Confederate Railroad,"['country', 'country road', 'country rock', 'redneck', 'southern rock']"
4840,Conflict,"['chicago rap', 'gangster rap', 'southern hip hop']"
4841,Conjunto 31 de Octubre,[]
4842,Conjunto Africa,[]
4843,Conjunto Agua Azul,"['deep norteno', 'duranguense', 'musica potosina', 'norteno', 'norteno-sax']"
4844,Conjunto Alma Cibaeña,[]
4845,Conjunto Atardecer,"['banda', 'duranguense', 'grupera', 'norteno', 'norteno-sax', 'regional mexican']"
4846,Conjunto Brio Norteño,['norteno-sax']
4847,Conjunto Chaney,"['salsa', 'salsa international', 'tropical']"
4848,Conjunto Clasico / Tito Nieves,"['salsa', 'salsa puertorriquena']"
4849,Conjunto Clásico,"['latin jazz', 'salsa', 'salsa international', 'tropical']"
4850,Conjunto De Rubén Fuentes,[]
4851,Conjunto Gilberto Rojas,[]
4852,Conjunto Liberado,['deep norteno']
4853,Conjunto Nuevo Cibao,[]
4854,Conjunto Oro,"['tejano', 'tex-mex']"
4855,Conjunto Primavera,"['banda', 'cumbia', 'grupera', 'norteno', 'ranchera', 'regional mexican']"
4856,Conjunto Rio Grande,"['duranguense', 'norteno', 'norteno-sax']"
4857,Conjunto Sensación,[]
4858,Conjunto de Sonia López,[]
4859,Conkarah,['jawaiian']
4860,Conlon Nancarrow,"['american contemporary classical', 'avant-garde', 'contemporary classical', 'free improvisation', 'laboratorio']"
4861,Connan Mockasin,"['electronica', 'experimental pop', 'indie rock', 'indie soul', 'indietronica', 'kiwi rock', 'neo-psychedelic']"
4862,Connie,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
4863,Connie Boswell,['torch song']
