date,value
2017,930.0000000000001
2017,810.0
2017,700.0
2017,760.0
2016,730.0
2016,680.0
2016,640.0
2016,590.0
2016,700.0
2016,710.0
2016,660.0
2016,680.0
2016,950.0
2016,750.0
2016,700.0
2016,740.0
2016,520.0
2016,750.0
2016,740.0
2016,690.0
2016,800.0
2016,650.0
2016,520.0
2016,819.9999999999999
2016,650.0
2016,740.0
2016,750.0
2016,800.0
2016,819.9999999999999
2016,650.0
2016,750.0
2016,630.0
2016,770.0
2016,740.0
2016,800.0
2016,720.0
2016,350.0
2016,730.0
2016,740.0
2016,790.0
2016,760.0
2016,780.0
2016,819.9999999999999
2016,760.0
2016,680.0
2016,750.0
2016,740.0
2016,710.0
2016,750.0
2016,400.0
2016,720.0
2016,730.0
2016,810.0
2016,600.0
2016,800.0
2016,600.0
2016,570.0
2016,760.0
2016,710.0
2016,810.0
2016,730.0
2016,760.0
2016,740.0
2016,670.0
2016,660.0
2016,690.0
2016,869.9999999999999
2016,730.0
2016,680.0
2016,780.0
2016,680.0
2016,760.0
2016,700.0
2016,770.0
2016,710.0
2016,740.0
2016,650.0
2016,740.0
2016,730.0
2016,700.0
2016,600.0
2016,790.0
2016,730.0
2016,660.0
2016,560.0
2016,680.0
2016,800.0
2016,770.0
2016,590.0
2016,740.0
2016,760.0
2016,800.0
2016,690.0
2016,800.0
2016,800.0
2016,700.0
2016,720.0
2016,680.0
2016,600.0
2016,530.0
2016,680.0
2016,780.0
2016,480.0
2016,670.0
2016,650.0
2016,790.0
2016,720.0
2016,800.0
2016,770.0
2016,250.0
2016,819.9999999999999
2016,830.0000000000001
2016,630.0
2016,800.0
2016,700.0
2016,730.0
2016,740.0
2016,650.0
2016,800.0
2016,720.0
2016,740.0
2016,800.0
2016,750.0
2016,680.0
2016,770.0
2016,690.0
2016,610.0
2016,710.0
2016,850.0
2016,780.0
2016,819.9999999999999
2016,509.99999999999994
2016,500.0
2016,580.0
2016,910.0
2016,500.0
2016,660.0
2016,850.0
2016,600.0
2016,780.0
2016,690.0
2016,500.0
2016,800.0
2016,610.0
2016,620.0
2016,690.0
2016,570.0
2016,560.0
2016,650.0
2016,800.0
2016,880.0000000000001
2016,710.0
2016,570.0
2016,680.0
2016,570.0
2016,620.0
2016,760.0
2016,640.0
2016,660.0
2016,600.0
2016,740.0
2016,700.0
2016,770.0
2016,740.0
2016,800.0
2016,750.0
2016,730.0
2016,670.0
2016,690.0
2016,760.0
2016,490.00000000000006
2016,720.0
2016,819.9999999999999
2016,780.0
2016,850.0
2016,470.0
2016,800.0
2016,700.0
2016,700.0
2016,640.0
2016,710.0
2016,680.0
2016,790.0
2016,680.0
2016,600.0
2016,810.0
2016,750.0
2016,680.0
2016,720.0
2016,750.0
2016,540.0
2016,790.0
2016,780.0
2016,690.0
2016,590.0
2016,780.0
2016,680.0
2016,670.0
2016,710.0
2016,850.0
2016,700.0
2016,690.0
2016,880.0000000000001
2016,810.0
2016,600.0
2016,730.0
2016,620.0
2016,700.0
2016,810.0
2016,710.0
2016,770.0
2016,800.0
2016,730.0
2016,620.0
2016,550.0
2016,680.0
2016,620.0
2016,760.0
2016,780.0
2016,780.0
2016,810.0
2016,650.0
2016,750.0
2016,690.0
2016,680.0
2016,650.0
2016,790.0
2016,740.0
2016,840.0
2016,750.0
2016,790.0
2016,780.0
2016,750.0
2016,750.0
2016,770.0
2016,700.0
2016,620.0
2016,700.0
2016,800.0
2016,670.0
2016,550.0
2016,670.0
2016,819.9999999999999
2016,780.0
2016,680.0
2016,650.0
2016,880.0000000000001
2016,690.0
2016,740.0
2016,819.9999999999999
2016,700.0
2015,860.0
2015,850.0
2015,720.0
2015,790.0
2015,880.0000000000001
2015,800.0
2015,660.0
2015,760.0
2015,690.0
2015,819.9999999999999
2015,790.0
2015,740.0
2015,800.0
2015,740.0
2015,819.9999999999999
2015,720.0
2015,760.0
2015,660.0
2015,730.0
2015,680.0
2015,730.0
2015,720.0
2015,840.0
2015,590.0
2015,810.0
2015,770.0
2015,650.0
2015,570.0
2015,790.0
2015,640.0
2015,770.0
2015,730.0
2015,400.0
2015,760.0
2015,500.0
2015,490.00000000000006
2015,860.0
2015,600.0
2015,800.0
2015,730.0
2015,800.0
2015,790.0
2015,750.0
2015,690.0
2015,730.0
2015,680.0
2015,600.0
2015,640.0
2015,700.0
2015,650.0
2015,770.0
2015,660.0
2015,750.0
2015,690.0
2015,720.0
2015,740.0
2015,840.0
2015,680.0
2015,740.0
2015,760.0
2015,810.0
2015,640.0
2015,780.0
2015,710.0
2015,750.0
2015,770.0
2015,740.0
2015,740.0
2015,860.0
2015,760.0
2015,810.0
2015,620.0
2015,620.0
2015,730.0
2015,690.0
2015,730.0
2015,760.0
2015,690.0
2015,650.0
2015,800.0
2015,750.0
2015,600.0
2015,780.0
2015,690.0
2015,500.0
2015,740.0
2015,730.0
2015,760.0
2015,780.0
2015,680.0
2015,730.0
